code,name,year_founded
002578,闽发铝业,1993
300398,飞凯材料,2002
600165,新日恒力,1998
600613,神奇制药,1992
000672,上峰水泥,1993
600822,上海物贸,1993
000881,中广核技,1993
300007,汉威科技,1998
600611,大众交通,1992
000721,西安饮食,1996
600283,钱江水利,1998
002340,格林美,2001
000909,数源科技,1999
300299,富春股份,2001
600688,上海石化,1993
601007,金陵饭店,2002
600687,刚泰控股,1989
000008,神州高铁,1989
002558,巨人网络,1994
603368,柳药股份,1981
300209,天泽信息,2000
300312,邦讯技术,2002
000627,天茂集团,1993
002735,王子新材,1997
601377,兴业证券,2000
000635,英力特,1996
600263,路桥建设,1999
300296,利亚德,1995
002324,普利特,1999
603988,中电电机,2003
300294,博雅生物,1993
601689,拓普集团,2004
000038,深大通,1987
002584,西陇科学,2001
000919,金陵药业,1998
002913,奥士康,2008
300404,博济医药,2002
601688,华泰证券,1991
002634,棒杰股份,1993
002226,江南化工,1998
002479,富春环保,2003
002582,好想你,1997
900920,上柴B股,1993
000925,众合科技,1999
600329,中新药业,1992
002238,天威视讯,1995
002586,围海股份,1988
600660,福耀玻璃,1992
300211,亿通科技,2001
600247,*ST成城,1993
002218,拓日新能,2002
200541,粤照明B,1992
600658,电子城,1986
002329,皇氏集团,2001
000722,湖南发展,1993
600116,三峡水利,1994
000760,斯太尔,1988
600193,*ST创兴,1996
002136,安纳达,2005
000686,东北证券,1992
000338,潍柴动力,2002
600338,西藏珠峰,1998
002467,二六三,1999
002178,延华智能,2001
300129,泰胜风能,2001
200160,东沣B,1999
600647,同达创业,1991
200539,粤电力B,1992
000586,汇源通信,1980
300119,瑞普生物,2001
002444,巨星科技,2001
600796,钱江生化,1989
603889,新澳股份,1995
000955,欣龙控股,1993
600479,千金药业,1993
600251,冠农股份,1999
002275,桂林三金,2001
600567,山鹰纸业,1994
002664,长鹰信质,1990
000673,当代东方,1997
603083,剑桥科技,2006
002643,万润股份,1995
300344,太空智造,1999
600827,百联股份,1993
600625,PT水仙,1992
000860,顺鑫农业,1998
002639,雪人股份,2000
600211,西藏药业,1999
300087,荃银高科,2002
300396,迪瑞医疗,1994
600819,耀皮玻璃,1993
002550,千红制药,2008
600353,旭光股份,1994
603010,万盛股份,2000
000633,合金投资,1990
600761,安徽合力,1993
600734,实达集团,1996
002571,德力股份,2002
300434,金石东方,2004
000681,视觉中国,1994
300187,永清环保,2004
600102,莱钢股份,1997
000895,双汇发展,1998
600836,界龙实业,1994
002001,新和成,1999
600973,宝胜股份,2000
002711,欧浦智网,2005
002730,电光科技,1998
300015,爱尔眼科,2003
300034,钢研高纳,2002
002176,江特电机,1991
300419,浩丰科技,2005
000889,茂业通信,1997
600694,大商股份,1992
002468,申通快递,2001
300376,易事特,2001
600259,广晟有色,1993
600810,神马股份,1993
601633,长城汽车,1998
000029,深深房A,1980
002677,浙江美大,2001
600794,保税科技,1994
002452,长高集团,2006
601328,交通银行,1987
000564,供销大集,1992
000620,新华联,1993
600378,天科股份,1999
600052,浙江广厦,1993
603227,雪峰科技,2002
