code,name,year_listed
603366,日出东方,2012
601969,海南矿业,2014
600177,雅戈尔,1998
600565,迪马股份,2002
600295,鄂尔多斯,2001
900956,东贝B股,1999
000410,沈阳机床,1996
000420,吉林化纤,1996
601958,金钼股份,2008
000018,神州长城,1992
000920,南方汇通,1999
000848,承德露露,1997
600348,阳泉煤业,2003
000002,万科A,1991
300139,晓程科技,2010
002563,森马服饰,2011
600859,王府井,1994
300080,易成新能,2010
000550,江铃汽车,1993
300403,地尔汉宇,2014
002146,荣盛发展,2007
300251,光线传媒,2011
603088,宁波精达,2014
600132,重庆啤酒,1997
600708,光明地产,1996
900945,海控B股,1997
600602,云赛智联,1990
300284,苏交科,2012
000655,*ST金岭,1996
300214,日科化学,2011
300203,聚光科技,2011
603609,禾丰牧业,2014
002538,司尔特,2011
002171,楚江新材,2007
002204,大连重工,2008
600759,洲际油气,1996
600090,同济堂,1997
600011,华能国际,2001
000923,河北宣工,1999
000676,智度股份,1996
603619,中曼石油,2017
002398,建研集团,2010
200168,舜喆B,2000
000862,银星能源,1998
000850,华茂股份,1998
002232,启明信息,2008
603025,大豪科技,2015
600029,南方航空,2003
600741,华域汽车,1996
000623,吉林敖东,1996
900919,绿庭B股,1993
600489,中金黄金,2003
600369,西南证券,2001
601137,博威合金,2011
002354,天神娱乐,2010
600036,招商银行,2002
000631,顺发恒业,1996
002118,紫鑫药业,2007
000612,焦作万方,1996
000877,天山股份,1999
600059,古越龙山,1997
600826,兰生股份,1994
002322,理工环科,2009
000863,三湘印象,1997
000875,吉电股份,2002
002659,凯文教育,2012
002361,神剑股份,2010
000583,S*ST托普,1995
300400,劲拓股份,2014
603729,龙韵股份,2015
200725,京东方B,1997
002401,中远海科,2010
002125,湘潭电化,2007
603686,龙马环卫,2015
002071,长城影视,2006
200570,苏常柴B,1996
600149,ST坊展,1999
000929,兰州黄河,1999
300222,科大智能,2011
600191,华资实业,1998
600250,南纺股份,2001
002028,思源电气,2004
002594,比亚迪,2011
002139,拓邦股份,2007
